Fold,Accuracy,Precision,Recall,F1 Score
1,0.8698539176626826,0.8708394035852891,0.8698539176626826,0.8700480376532281
2,0.8609388839681134,0.861428583982967,0.8609388839681134,0.86105947609556
3,0.8799822852081488,0.8794088768847604,0.8799822852081488,0.8795842741207349
4,0.8799822852081488,0.8807860717722489,0.8799822852081488,0.879929615432045
5,0.8684676705048716,0.8676765389611842,0.8684676705048716,0.8677721362717212
6,0.8821966341895483,0.8823573834958062,0.8821966341895483,0.8821782803184431
7,0.8804251550044287,0.8807379111759521,0.8804251550044287,0.8803875964363088
8,0.8768821966341895,0.8764262411347518,0.8768821966341895,0.8766047056113118
9,0.8906111603188662,0.8904351092500568,0.8906111603188662,0.8902679128592582
10,0.8799822852081488,0.8807893513075883,0.8799822852081488,0.8800337458734394
